FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
111 47TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080K00090000000,80-K-90,Central Lawrenceville,15201,-79.960625,40.476287
111 HONEYCRISP LN,RM-M,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,0049C00158000000,49-C-158,Central Lawrenceville,15201,-79.956199,40.472576
112 35TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0048S00040000000,48-S-40,Lower Lawrenceville,15201,-79.968563,40.464537
112 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00139000A00,80-N-139-A,Central Lawrenceville,15201,-79.962447,40.47325
112 57TH ST,R1D-H,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,0120J00208000000,120-J-208,Upper Lawrenceville,15201,-79.945875,40.484618
113 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00027000000,49-A-27,Central Lawrenceville,15201,-79.963049,40.472091
113 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00140000000,80-N-140,Central Lawrenceville,15201,-79.962694,40.473122
113 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00058000000,80-N-58,Central Lawrenceville,15201,-79.962641,40.472534
113 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00185000000,80-N-185,Central Lawrenceville,15201,-79.96226,40.473396
113 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00133000000,80-P-133,Central Lawrenceville,15201,-79.961767,40.474062
113 47TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080K00090000000,80-K-90,Central Lawrenceville,15201,-79.960568,40.476233
113 51ST ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00300000000,80-C-300,Upper Lawrenceville,15201,-79.957433,40.480159
113 MCCANDLESS AVE,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0119S00240000000,119-S-240,Upper Lawrenceville,15201,-79.953868,40.482834
114 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00167000000,49-A-167,Central Lawrenceville,15201,-79.964012,40.471259
114 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00117000000,80-N-117,Central Lawrenceville,15201,-79.962743,40.472987
114 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00043000000,80-N-43,Central Lawrenceville,15201,-79.96294,40.472302
114 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00138000000,80-N-138,Central Lawrenceville,15201,-79.9624,40.47321
115 1/2 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00029000000,49-A-29,Central Lawrenceville,15201,-79.962964,40.472021
115 1/2 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00187000000,80-N-187,Central Lawrenceville,15201,-79.96217,40.47334
115 34TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0048S00020000000,48-S-20,Lower Lawrenceville,15201,-79.969138,40.4637
115 41ST ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00165000000,49-A-165,Central Lawrenceville,15201,-79.963834,40.471458
115 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00028000000,49-A-28,Central Lawrenceville,15201,-79.963007,40.472056
115 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00187000000,80-N-187,Central Lawrenceville,15201,-79.962187,40.47336
115 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00132000000,80-P-132,Central Lawrenceville,15201,-79.961733,40.474034
115 53RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00199000000,80-D-199,Upper Lawrenceville,15201,-79.951212,40.481382
115 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00096000000,49-A-96,Central Lawrenceville,15201,-79.963505,40.471588
115 HONEYCRISP LN,RM-M,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,0049C00158000000,49-C-158,Central Lawrenceville,15201,-79.956141,40.472543
115 LOCARNA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00187000A00,80-N-187-A,Central Lawrenceville,15201,-79.962016,40.473488
115 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00181000700,80-D-181-7,Upper Lawrenceville,15201,-79.952161,40.480845
116 34TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0048S00088000000,48-S-88,Lower Lawrenceville,15201,-79.96936,40.463269
116 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00168000000,49-A-168,Central Lawrenceville,15201,-79.963975,40.471233
116 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00044000000,80-N-44,Central Lawrenceville,15201,-79.96288,40.472279
116 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00137000000,80-N-137,Central Lawrenceville,15201,-79.962352,40.473181
117 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00030000000,49-A-30,Central Lawrenceville,15201,-79.962928,40.471992
117 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00055000000,80-N-55,Central Lawrenceville,15201,-79.962558,40.472445
117 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00188000000,80-N-188,Central Lawrenceville,15201,-79.962069,40.47334
117 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080K00083000000,80-K-83,Central Lawrenceville,15201,-79.960409,40.475832
117 53RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00200000000,80-D-200,Upper Lawrenceville,15201,-79.951185,40.481353
117 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00097000000,49-A-97,Central Lawrenceville,15201,-79.963467,40.471552
117 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00181000600,80-D-181-6,Upper Lawrenceville,15201,-79.952123,40.480824
118 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00169000000,49-A-169,Central Lawrenceville,15201,-79.96394,40.471203
118 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00082000000,49-A-82,Central Lawrenceville,15201,-79.963158,40.471825
118 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00124000000,80-N-124,Central Lawrenceville,15201,-79.962256,40.472751
118 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00045000000,80-N-45,Central Lawrenceville,15201,-79.962814,40.47225
118 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00136000000,80-N-136,Central Lawrenceville,15201,-79.962281,40.473153
118 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00191000000,80-N-191,Central Lawrenceville,15201,-79.961999,40.473908
118 52ND ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00325000000,80-C-325,Upper Lawrenceville,15201,-79.956509,40.480903
119 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00311000000,49-A-311,Central Lawrenceville,15201,-79.964634,40.470783
119 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00161000000,49-A-161,Central Lawrenceville,15201,-79.963689,40.471363
119 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00031000000,49-A-31,Central Lawrenceville,15201,-79.962888,40.471956
119 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00056000000,80-N-56,Central Lawrenceville,15201,-79.962525,40.472421
119 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00052000000,80-P-52,Central Lawrenceville,15201,-79.962028,40.473289
119 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080K00082000000,80-K-82,Central Lawrenceville,15201,-79.960347,40.475804
119 51ST ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080C00300000000,80-C-300,Upper Lawrenceville,15201,-79.95733,40.480085
119 53RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00203000000,80-D-203,Upper Lawrenceville,15201,-79.951128,40.481323
119 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00098000000,49-A-98,Central Lawrenceville,15201,-79.963429,40.471527
119 HONEYCRISP LN,RM-M,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,0049C00158000000,49-C-158,Central Lawrenceville,15201,-79.956088,40.472499
119 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00181000500,80-D-181-5,Upper Lawrenceville,15201,-79.952089,40.480801
12 MCCANDLESS AVE,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0119R00016000000,119-R-16,Upper Lawrenceville,15201,-79.955734,40.483362
120 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00170000000,49-A-170,Central Lawrenceville,15201,-79.96389,40.47117
120 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00046000000,80-N-46,Central Lawrenceville,15201,-79.962771,40.472207
120 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00136000000,80-N-136,Central Lawrenceville,15201,-79.962242,40.473111
120 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00270000000,80-P-270,Central Lawrenceville,15201,-79.961906,40.473864
120 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00079000000,49-A-79,Central Lawrenceville,15201,-79.963247,40.471611
120 LOCARNA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00267000000,80-P-267,Central Lawrenceville,15201,-79.962065,40.47374
121 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00312000000,49-A-312,Central Lawrenceville,15201,-79.964608,40.470767
121 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00162000000,49-A-162,Central Lawrenceville,15201,-79.963632,40.471309
121 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00032000000,49-A-32,Central Lawrenceville,15201,-79.962849,40.4719
121 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00054000000,80-N-54,Central Lawrenceville,15201,-79.962479,40.472397
121 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00050000000,80-P-50,Central Lawrenceville,15201,-79.961918,40.47324
121 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00129000000,80-P-129,Central Lawrenceville,15201,-79.961602,40.473922
121 47TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080K00081000A00,80-K-81-A,Central Lawrenceville,15201,-79.960309,40.475776
121 53RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00204000000,80-D-204,Upper Lawrenceville,15201,-79.951088,40.481294
121 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00099000000,49-A-99,Central Lawrenceville,15201,-79.963392,40.471498
121 LOCARNA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00050000000,80-P-50,Central Lawrenceville,15201,-79.961756,40.473326
121 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00181000400,80-D-181-4,Upper Lawrenceville,15201,-79.952054,40.480778
122 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00171000000,49-A-171,Central Lawrenceville,15201,-79.963853,40.471141
122 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00077000000,49-A-77,Central Lawrenceville,15201,-79.963003,40.471724
122 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00024000000,49-A-24,Central Lawrenceville,15201,-79.962712,40.47217
122 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00054000000,80-P-54,Central Lawrenceville,15201,-79.961851,40.47381
122 LOCARNA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00053000000,80-P-53,Central Lawrenceville,15201,-79.962005,40.473682
123 1/2 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00033000000,49-A-33,Central Lawrenceville,15201,-79.962777,40.471861
123 36TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0048M00210000000,48-M-210,Lower Lawrenceville,15201,-79.96698,40.467073
123 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00310000000,49-A-310,Central Lawrenceville,15201,-79.964576,40.47074
123 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00159000000,49-A-159,Central Lawrenceville,15201,-79.963566,40.471299
123 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00033000000,49-A-33,Central Lawrenceville,15201,-79.96281,40.47188
123 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00053000000,80-N-53,Central Lawrenceville,15201,-79.962425,40.472344
123 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00128000000,80-P-128,Central Lawrenceville,15201,-79.961548,40.473884
123 53RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00205000000,80-D-205,Upper Lawrenceville,15201,-79.951036,40.481268
123 BANNER WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00100000000,49-A-100,Central Lawrenceville,15201,-79.96336,40.471468
123 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00181000300,80-D-181-3,Upper Lawrenceville,15201,-79.952019,40.480754
124 41ST ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00172000000,49-A-172,Central Lawrenceville,15201,-79.963805,40.471111
124 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00076000200,49-A-76-2,Central Lawrenceville,15201,-79.962933,40.471683
124 42ND ST UNIT 1,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00076000100,49-A-76-1,Central Lawrenceville,15201,-79.962971,40.471695
124 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00031000000,49-A-31,Central Lawrenceville,15201,-79.962642,40.472139
124 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00056000000,80-P-56,Central Lawrenceville,15201,-79.961777,40.473777
124 46TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00330000000,80-P-330,Central Lawrenceville,15201,-79.961201,40.47435
124 LOCARNA WAY,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00055000000,80-P-55,Central Lawrenceville,15201,-79.961952,40.473631
125 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00309000000,49-A-309,Central Lawrenceville,15201,-79.964542,40.470714
